Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01341","Apples","2023","2023","1000 USD","137574","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01312","Bananas","2023","2023","1000 USD","54","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","0115","Barley","2023","2023","1000 USD","219461","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","24310.01","Beer of barley, malted","2023","2023","1000 USD","52790","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","39120.13","Bran of cereals n.e.c.","2023","2023","1000 USD","10732","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","22241.01","Butter of cow milk","2023","2023","1000 USD","17740","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21910.03","Cake of  soya beans","2023","2023","1000 USD","3051","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21910.15","Cake of cottonseed","2023","2023","1000 USD","286","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21910.90","Cake, oilseeds nes","2023","2023","1000 USD","215","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01447","Castor oil seeds","2023","2023","1000 USD","2409","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","23140.08","Cereal preparations","2023","2023","1000 USD","4518","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01199.90","Cereals n.e.c.","2023","2023","1000 USD","11826","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","22251.01","Cheese from whole cow milk","2023","2023","1000 USD","143965","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2023","2023","1000 USD","3453","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","F0666","Chocolate products nes","2023","2023","1000 USD","231851","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01640","Cocoa beans","2023","2023","1000 USD","95821","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","23620","Cocoa butter, fat and oil","2023","2023","1000 USD","1531","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","23610.01","Cocoa paste not defatted","2023","2023","1000 USD","3555","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","F0665","Cocoa powder and cake","2023","2023","1000 USD","73665","E","Estimated value"
